,encontrado,qtd_comparacoes,id_localizado,n_buscado,vetor,salto,tempo
96,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",11,0.008147001266479492
97,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",12,0.008826971054077148
98,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",13,0.009490013122558594
99,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",14,0.010165929794311523
100,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",15,0.010812044143676758
101,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",16,0.011510848999023438
102,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",17,0.012166023254394531
103,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",18,0.012932062149047852
104,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",19,0.013648033142089844
105,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",20,0.014287948608398438
106,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",21,0.014946937561035156
107,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",22,0.015592098236083984
108,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",23,0.016232013702392578
109,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",24,0.016862154006958008
110,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",1,0.0001850128173828125
111,True,5,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",2,0.0007848739624023438
112,True,4,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",3,0.001425027847290039
113,True,5,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",4,0.0020530223846435547
114,True,4,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",5,0.002711057662963867
115,True,3,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",6,0.0034830570220947266
116,True,1,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",7,0.0041429996490478516
117,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",8,0.004754066467285156
118,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",9,0.0053730010986328125
119,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",10,0.005975961685180664
120,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",11,0.006646156311035156
121,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",12,0.007424116134643555
122,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",13,0.008147001266479492
123,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",14,0.008949995040893555
124,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",15,0.00981593132019043
125,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",16,0.010519027709960938
126,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",17,0.011167049407958984
127,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",18,0.011810064315795898
128,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",19,0.012513160705566406
129,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",20,0.01310110092163086
130,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",21,0.013700008392333984
131,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",22,0.01431894302368164
132,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",23,0.014945030212402344
133,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",24,0.015565156936645508
134,True,7,6,291,"[109, 129, 226, 252, 259, 262, 291, 299, 302, 304, 329, 360, 404, 414, 426, 437, 524, 664, 683, 740, 784, 796, 819, 841, 903, 917]",25,0.016156911849975586
135,True,4,3,88,"[8, 66, 71, 88, 180, 198, 203, 224, 265, 269, 285, 323, 374, 423, 454, 503, 523, 545, 605, 616, 624, 763, 800, 808, 897, 905, 915]",1,0.00017595291137695312
